Title,Company,Deadline,Location,Link
Marketing Specialist ,AAB Construction,29 July 2020,Yerevan,https://staff.am/en/marketing-specialist-218
ASIC Physical Design Engineer/ 25774,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/asic-physical-design-engineer-25774
IT Project Manager,Cypress,26 July 2020,Yerevan,https://staff.am/en/it-project-manager-89
Senior ASIC Physical Design Engineer/ 25762BR,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/senior-asic-physical-design-engineer-25762br
Senior QA Engineer,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/senior-qa-engineer-163
Senior R&D Engineer/25405,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/senior-rd-engineer25405
ASIC Physical Design Engineer/ 25773,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/asic-physical-design-engineer-25773
ASIC Physical Design Engineer/25778,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/asic-physical-design-engineer25778
Senior Analog Design Engineer/ 25717BR,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/senior-analog-design-engineer-25717br
Analog Design Engineer/25799 ,Synopsys Armenia ,29 July 2020,Yerevan,https://staff.am/en/analog-design-engineer25799
Scrum Master - SpringBuilder,SoftConstruct,28 July 2020,Yerevan,https://staff.am/en/scrum-master-springbuilder
Sales manager,ANITEX LLC,27 July 2020,Yerevan,https://staff.am/en/sales-manager-413
 Medical Equipment Representative,Concern-Energomash CJSC,17 July 2020,Yerevan,https://staff.am/en/medical-equipment-representative
Chief Accountant,Softline Armenia,26 July 2020,Yerevan,https://staff.am/en/chief-accountant-83
Software Engineer (m/f/d),PubNative GmbH,26 July 2020,Yerevan,https://staff.am/en/software-engineer-mfd
Sales Solution Infrastructure,Softline Armenia,26 July 2020,Yerevan,https://staff.am/en/sales-solution-infrastructure-4
Online Store Manager,Softline Armenia,26 July 2020,Yerevan,https://staff.am/en/online-store-manager
Վճարումների խորհրդատու,Easy Pay LLC,26 July 2020,Yerevan,https://staff.am/en/vcarumneri-xorhrdatu-2
Accountant-cashier,Concern-Energomash CJSC,26 July 2020,Yerevan,https://staff.am/en/accountant-cashier-3
HR specialist,SoftConstruct,10 July 2020,Yerevan,https://staff.am/en/hr-specialist-105
IT Project Manager,Digitec Innovations LLC,26 July 2020,Yerevan,https://staff.am/en/it-project-manager-86
Backend Developer,Digitec Innovations LLC,26 July 2020,Yerevan,https://staff.am/en/backend-developer-34
Հաշվետար,Էյ Էմ Գրուպ ՍՊԸ,26 July 2020,Yerevan,https://staff.am/en/hasvetar-54
Product Owner,SoftConstruct,26 July 2020,Yerevan,https://staff.am/en/product-owner-137
Executive Assistant,Partner Company,26 July 2020,Yerevan,https://staff.am/en/executive-assistant-87
Accountant,SoftConstruct,10 July 2020,Yerevan,https://staff.am/en/accountant-467
Junior Risk Analyst (mixed shifts),SoftConstruct,15 July 2020,Yerevan,https://staff.am/en/junior-risk-analyst-night-shifts-6
Technical Project Manager ,IYC technologies,26 July 2020,Yerevan,https://staff.am/en/technical-project-manager-26
Վաճառքի մենեջեր,Բերդ Կաթնամթերք,10 July 2020,Yerevan,https://staff.am/en/vacarki-menejer-125
Պանրի տեխնոլոգ,Բերդ Կաթնամթերք,10 July 2020,Chambarak,https://staff.am/en/panri-texnolog
Senior PHP / Laravel Developer,Innorise Entertainment LLC,26 July 2020,Yerevan,https://staff.am/en/senior-php-laravel-developer-6
Content Moderator,All.me LLC,09 July 2020,Yerevan,https://staff.am/en/content-moderator-18
Internal Auditor,SEF International UCO ,10 July 2020,Yerevan,https://staff.am/en/internal-auditor-40
Senior Java Software Engineer,MentorcliQ,26 July 2020,Yerevan,https://staff.am/en/senior-java-software-engineer-73
Senior Internal Auditor ,SEF International UCO ,10 July 2020,Yerevan,https://staff.am/en/senior-internal-auditor-11
Գործընկերների ներգրավման մասնագետ,SEF International UCO ,10 July 2020,Yerevan,https://staff.am/en/gorcnkerneri-nergravman-masnaget-9
Senior Backend (node.js) Developer,Priotix,26 July 2020,Yerevan,https://staff.am/en/senior-backend-nodejs-developer-4
Ժամկետանցի կառավարման բաժնի ղեկավար,SEF International UCO ,10 July 2020,Yerevan,https://staff.am/en/zamketanci-karavarman-bazni-gekavar-7
Senior Software Development Engineer in Test,Workfront Armenia,26 July 2020,Yerevan,https://staff.am/en/senior-software-development-engineer-in-test
Հյուրընկալ,Fora Premium,26 July 2020,Yerevan,https://staff.am/en/hyurnkal-3
Graphic designer,AraratBank OJSC,20 July 2020,Yerevan,https://staff.am/en/graphic-desinger
Ավագ գանձապահ «Վանաձոր» մասնաճյուղում,Fast Credit Capital UCO CJSC,26 July 2020,Vanadzor,https://staff.am/en/ganjapah-36-3
Graphic Designer ,Sygnoos ,26 July 2020,Yerevan,https://staff.am/en/graphic-designer-370
Senior Software Developer,LSOFT LTD,25 July 2020,Yerevan,https://staff.am/en/senior-software-developer-27
SMM Specialist,SoftConstruct,10 July 2020,Yerevan,https://staff.am/en/smm-specialist-330
UI/UX designer,All.me LLC,08 July 2020,Yerevan,https://staff.am/en/uiux-designer-398
Financial Reporting and Media Planning Unit Manager,Digitain ,18 July 2020,Yerevan,https://staff.am/en/financial-reporting-and-media-planning-unit-manager
Sales Manager,Bplan LLC,25 July 2020,Yerevan,https://staff.am/en/sales-manager-410
Call Center Agent,Armada Armenia,25 July 2020,Yerevan,https://staff.am/en/call-center-agent-4
Java Software Engineer,Essential,25 July 2020,Yerevan,https://staff.am/en/java-software-engineer-1
Software Developer,American University of Armenia Fund,16 July 2020,Yerevan,https://staff.am/en/software-developer-77
Associate Consultant,Գրանթ Թորնթոն ՓԲԸ,20 July 2020,Yerevan,https://staff.am/en/associate-consultant-4
Consultant,Գրանթ Թորնթոն ՓԲԸ,20 July 2020,Yerevan,https://staff.am/en/consultant-12
«Բանկային և ապահովագրական ոլորտի մասնագիտություններ» առարկայի դասախոս,Հայաստանում ֆրանսիական համալսարան/ French University in Armenia (UFAR),15 July 2020,Yerevan,https://staff.am/en/bankayin-ev-apahovagrakan-olorti-masnagitutyunner-ararkayi-dasaxos
Ինֆորմատիկա և կիրառական մաթեմատիկա ֆակուլտետի դասախոս,Հայաստանում ֆրանսիական համալսարան/ French University in Armenia (UFAR),15 July 2020,Yerevan,https://staff.am/en/informatika-ev-kirarakan-matematika-fakulteti-dasaxos
Digital Marketing Specialist,Art Lunch,25 July 2020,Yerevan,https://staff.am/en/digital-marketing-specialist-213
Sr. Product Manager - Sales Tech,ServiceTitan,25 July 2020,Yerevan,https://staff.am/en/sr-product-manager-sales-tech
Product Manager - Inventory,ServiceTitan,25 July 2020,Yerevan,https://staff.am/en/product-manager-inventory
Product Manager - Accounting,ServiceTitan,25 July 2020,Yerevan,https://staff.am/en/product-manager-accounting
Mid Angular Developer,Devolon Armenia,25 July 2020,Yerevan,https://staff.am/en/mid-angular-developer
UI/UX Designer,Haypost CJSC,25 July 2020,Yerevan,https://staff.am/en/uiux-designer-395
Motion designer/Video Editor Freelance/Videographer,IFCMARKETS.CORP.,02 July 2020,Yerevan,https://staff.am/en/motion-designervideo-editor-freelancevideographer-1
Logistics Manager,Globbing,24 July 2020,Yerevan,https://staff.am/en/logistics-manager-36
Call Center Specialist (evening and night shift),ID Bank CJSC,10 July 2020,Yerevan,https://staff.am/en/call-center-specialist-evening-and-night-shift-1
Live Dealer (English or Spanish),SoftConstruct,24 July 2020,Yerevan,https://staff.am/en/live-dealer-english-or-spanish-1
Purchasing and Business Department Manager,Globbing,24 July 2020,Yerevan,https://staff.am/en/purchasing-and-business-department-manager-7
Հեռախոսազանգերի կենտրոնի Տեղեկատվական խմբի ղեկավար,ID Bank CJSC,10 July 2020,Yerevan,https://staff.am/en/heraxosazangeri-kentroni-tegekatvakan-xmbi-gekavar-1
